,date,route_id,service_id,trip_id,vehicle_id,patternId,direction,tripLength
1338,2012-10-01 00:00:00,22,22-21,27092186,106,29,R,10902
1363,2012-10-01 00:00:00,22,22-21,27092187,106,32,A,10803
1387,2012-10-01 00:00:00,22,22-21,27092188,106,29,R,10902
1412,2012-10-01 00:00:00,22,22-21,27092189,106,32,A,10803
1436,2012-10-01 00:00:00,22,22-21,27092190,106,29,R,10902
1461,2012-10-01 00:00:00,22,22-21,27092191,106,32,A,10803
1485,2012-10-01 00:00:00,22,22-21,27092192,106,29,R,10902
1510,2012-10-01 00:00:00,22,22-21,27092193,106,32,A,10803
1534,2012-10-01 00:00:00,22,22-21,27092194,106,29,R,10902
1559,2012-10-01 00:00:00,22,22-21,27092195,106,32,A,10803
1583,2012-10-01 00:00:00,22,22-21,27092196,106,29,R,10902
1608,2012-10-01 00:00:00,22,22-21,27092197,106,32,A,10803
1630,2012-10-01 00:00:00,11,11-78,27089303,107,18,R,8598
1654,2012-10-01 00:00:00,11,11-78,27089305,107,17,A,8883
1676,2012-10-01 00:00:00,11,11-78,27089307,107,18,R,8598
1700,2012-10-01 00:00:00,11,11-78,27089309,107,17,A,8883
1728,2012-10-01 00:00:00,5,5-23,27095396,107,49,R,11541
1751,2012-10-01 00:00:00,5,5-23,27095397,107,23,A,7701
1775,2012-10-01 00:00:00,22,23-41,27082907,108,29,R,10902
1799,2012-10-01 00:00:00,22,22-23,27092234,108,29,R,10902
1824,2012-10-01 00:00:00,22,22-23,27092235,108,32,A,10803
1848,2012-10-01 00:00:00,22,22-23,27092236,108,29,R,10902
1873,2012-10-01 00:00:00,22,22-23,27092237,108,32,A,10803
1897,2012-10-01 00:00:00,22,22-23,27092238,108,29,R,10902
1922,2012-10-01 00:00:00,22,22-23,27092239,108,32,A,10803
1946,2012-10-01 00:00:00,22,22-23,27092240,108,29,R,10902
1971,2012-10-01 00:00:00,22,22-23,27092241,108,32,A,10803
1995,2012-10-01 00:00:00,22,22-23,27092242,108,29,R,10902
2020,2012-10-01 00:00:00,22,22-23,27092243,108,32,A,10803
2044,2012-10-01 00:00:00,22,22-23,27092244,108,29,R,10902
2069,2012-10-01 00:00:00,22,22-23,27092245,108,32,A,10803
2093,2012-10-01 00:00:00,22,22-23,27092246,108,29,R,10902
2118,2012-10-01 00:00:00,22,22-23,27092247,108,32,A,10803
2142,2012-10-01 00:00:00,22,22-23,27092248,108,29,R,10902
2167,2012-10-01 00:00:00,22,22-23,27092249,108,32,A,10803
2192,2012-10-01 00:00:00,22,22-23,27092251,108,32,A,10803
2216,2012-10-01 00:00:00,22,22-23,27092252,108,29,R,10902
2241,2012-10-01 00:00:00,22,22-23,27092253,108,32,A,10803
2265,2012-10-01 00:00:00,22,22-23,27092254,108,29,R,10902
2290,2012-10-01 00:00:00,22,22-23,27092255,108,32,A,10803
2314,2012-10-01 00:00:00,22,22-23,27092256,108,29,R,10902
2339,2012-10-01 00:00:00,22,22-23,27092257,108,32,A,10803
2366,2012-10-01 00:00:00,23,22-23,27092259,108,14,R,11995
2391,2012-10-01 00:00:00,23,22-23,27092261,108,7,A,9971
2415,2012-10-01 00:00:00,22,22-23,27092263,108,29,R,10902
2416,2012-10-01 00:00:00,22,23-41,27099911,108,29,R,10902
2440,2012-10-01 00:00:00,22,22-23,27113429,108,29,R,10902
2469,2012-10-01 00:00:00,9,9-71,27097591,109,34,A,10774
2502,2012-10-01 00:00:00,9,9-71,27097592,109,36,R,11207
2533,2012-10-01 00:00:00,1,9-71,27097594,109,45,A,10322
2569,2012-10-01 00:00:00,1,9-71,27097596,109,48,R,11651
2600,2012-10-01 00:00:00,1,9-71,27097598,109,45,A,10322
2636,2012-10-01 00:00:00,1,9-71,27097600,109,48,R,11651
2667,2012-10-01 00:00:00,1,9-71,27097602,109,45,A,10322
2703,2012-10-01 00:00:00,1,9-71,27097604,109,48,R,11651
2734,2012-10-01 00:00:00,1,9-71,27097606,109,45,A,10322
2770,2012-10-01 00:00:00,1,9-71,27097608,109,48,R,11651
2799,2012-10-01 00:00:00,9,9-71,27097610,109,34,A,10774
2832,2012-10-01 00:00:00,9,9-71,27097611,109,36,R,11207
2861,2012-10-01 00:00:00,9,9-71,27097613,109,34,A,10774
2894,2012-10-01 00:00:00,9,9-71,27097614,109,36,R,11207
2923,2012-10-01 00:00:00,9,9-71,27097616,109,34,A,10774
2956,2012-10-01 00:00:00,9,9-71,27097617,109,36,R,11207
2985,2012-10-01 00:00:00,9,9-71,27097619,109,34,A,10774
3018,2012-10-01 00:00:00,9,9-71,27097620,109,36,R,11207
3047,2012-10-01 00:00:00,9,9-71,27097622,109,34,A,10774
3080,2012-10-01 00:00:00,9,1-62,27088337,110,36,R,11207
3111,2012-10-01 00:00:00,1,1-62,27088339,110,45,A,10322
3147,2012-10-01 00:00:00,1,1-62,27088341,110,48,R,11651
3178,2012-10-01 00:00:00,1,1-62,27088343,110,45,A,10322
3214,2012-10-01 00:00:00,1,1-62,27088345,110,48,R,11651
3245,2012-10-01 00:00:00,1,1-62,27088347,110,45,A,10322
3281,2012-10-01 00:00:00,1,1-62,27088349,110,48,R,11651
3312,2012-10-01 00:00:00,1,1-62,27088351,110,45,A,10322
3348,2012-10-01 00:00:00,1,1-62,27088353,110,48,R,11651
3379,2012-10-01 00:00:00,1,1-62,27088355,110,45,A,10322
3415,2012-10-01 00:00:00,1,1-62,27088357,110,48,R,11651
3446,2012-10-01 00:00:00,1,1-62,27088359,110,45,A,10322
3482,2012-10-01 00:00:00,1,1-62,27088361,110,48,R,11651
3513,2012-10-01 00:00:00,1,1-62,27088363,110,45,A,10322
3549,2012-10-01 00:00:00,1,1-62,27088365,110,48,R,11651
3578,2012-10-01 00:00:00,9,1-62,27088367,110,34,A,10774
3611,2012-10-01 00:00:00,9,1-62,27088368,110,36,R,11207
3640,2012-10-01 00:00:00,9,1-62,27088370,110,34,A,10774
3673,2012-10-01 00:00:00,9,1-62,27088371,110,36,R,11207
3705,2012-10-01 00:00:00,L,L-22,27085789,1101,25,A,16007
3734,2012-10-01 00:00:00,A,A-29,27097821,1101,20,R,12083
3754,2012-10-01 00:00:00,33,A-29,27097822,1101,3,A,7366
3781,2012-10-01 00:00:00,34,A-29,27097824,1101,6,R,10945
3808,2012-10-01 00:00:00,34,A-29,27097825,1101,3,A,11076
3828,2012-10-01 00:00:00,33,A-29,27097827,1101,8,R,7276
3857,2012-10-01 00:00:00,A,A-29,27097828,1101,19,A,12739
3885,2012-10-01 00:00:00,A,A-29,27097829,1101,20,R,12083
3914,2012-10-01 00:00:00,A,A-29,27097830,1101,19,A,12739
3943,2012-10-01 00:00:00,A,A-29,27097831,1101,20,R,12083
3972,2012-10-01 00:00:00,A,A-29,27097832,1101,19,A,12739
4001,2012-10-01 00:00:00,A,A-29,27097833,1101,20,R,12083
4030,2012-10-01 00:00:00,A,A-29,27097834,1101,19,A,12739
4059,2012-10-01 00:00:00,A,A-29,27097835,1101,20,R,12083
4079,2012-10-01 00:00:00,33,A-29,27097836,1101,3,A,7366
4106,2012-10-01 00:00:00,34,A-29,27097838,1101,6,R,10945
4133,2012-10-01 00:00:00,34,A-29,27097839,1101,3,A,11076
4160,2012-10-01 00:00:00,34,A-29,27097841,1101,6,R,10945
4187,2012-10-01 00:00:00,34,A-29,27097842,1101,3,A,11076
4218,2012-10-01 00:00:00,L,L-26,27099112,1101,26,A,15533
4249,2012-10-01 00:00:00,L,L-26,27099113,1101,27,R,15145
4281,2012-10-01 00:00:00,L,L-26,27099114,1101,25,A,16007
4312,2012-10-01 00:00:00,K,K-6,27098974,1102,30,R,16997
4344,2012-10-01 00:00:00,K,K-6,27098975,1102,28,A,17316
4376,2012-10-01 00:00:00,K,K-6,27098976,1102,30,R,16997
4398,2012-10-01 00:00:00,11,11-36,27089111,1103,18,R,8598
4422,2012-10-01 00:00:00,11,11-36,27089113,1103,17,A,8883
4444,2012-10-01 00:00:00,11,11-36,27089115,1103,18,R,8598
4474,2012-10-01 00:00:00,8,8-3,27097177,1103,77,R,11900
4504,2012-10-01 00:00:00,8,8-3,27097178,1103,6,A,10636
4532,2012-10-01 00:00:00,8,8-3,27097179,1103,79,R,10509
4562,2012-10-01 00:00:00,8,8-3,27097180,1103,6,A,10636
4590,2012-10-01 00:00:00,8,8-3,27097181,1103,79,R,10509
4620,2012-10-01 00:00:00,8,8-3,27097182,1103,6,A,10636
4648,2012-10-01 00:00:00,8,8-3,27097183,1103,79,R,10509
4680,2012-10-01 00:00:00,8,8-3,27097184,1103,5,A,11806
4710,2012-10-01 00:00:00,8,8-3,27097185,1103,77,R,11900
4734,2012-10-01 00:00:00,11,11-21,27081130,1104,17,A,8883
4770,2012-10-01 00:00:00,C,C-44,27097947,1104,8,A,14904
4808,2012-10-01 00:00:00,C,C-44,27097948,1104,13,R,16374
4847,2012-10-01 00:00:00,C,C-44,27097949,1104,6,A,16275
4883,2012-10-01 00:00:00,C,C-44,27097950,1104,15,R,14752
4912,2012-10-01 00:00:00,E,E-7,27098367,1104,4,A,13331
4944,2012-10-01 00:00:00,E,E-7,27098368,1104,7,R,13561
4973,2012-10-01 00:00:00,E,E-7,27098370,1104,4,A,13331
5005,2012-10-01 00:00:00,E,E-7,27098371,1104,7,R,13561
5034,2012-10-01 00:00:00,E,E-7,27098373,1104,4,A,13331
5066,2012-10-01 00:00:00,E,E-7,27098374,1104,7,R,13561
5095,2012-10-01 00:00:00,E,E-7,27098376,1104,4,A,13331
5127,2012-10-01 00:00:00,E,E-7,27098377,1104,7,R,13561
5156,2012-10-01 00:00:00,E,E-7,27098379,1104,4,A,13331
5188,2012-10-01 00:00:00,E,E-7,27098380,1104,7,R,13561
5217,2012-10-01 00:00:00,E,E-7,27098382,1104,4,A,13331
5248,2012-10-01 00:00:00,E,E-7,27098383,1104,7,R,13561
5255,2012-10-01 00:00:00,33,A-3,27085334,1105,12,R,2241
5257,2012-10-01 00:00:00,33,A-3,27085335,1105,11,A,1347
5267,2012-10-01 00:00:00,A,A-3,27085336,1105,6,A,5213
5296,2012-10-01 00:00:00,A,A-3,27085337,1105,20,R,12083
5325,2012-10-01 00:00:00,E,E-10,27098274,1105,4,A,13331
5357,2012-10-01 00:00:00,E,E-10,27098275,1105,7,R,13561
5386,2012-10-01 00:00:00,E,E-10,27098277,1105,4,A,13331
5418,2012-10-01 00:00:00,E,E-10,27098278,1105,7,R,13561
5447,2012-10-01 00:00:00,E,E-10,27098280,1105,4,A,13331
5479,2012-10-01 00:00:00,E,E-10,27098281,1105,7,R,13561
5508,2012-10-01 00:00:00,E,E-10,27098283,1105,4,A,13331
5540,2012-10-01 00:00:00,E,E-10,27098284,1105,7,R,13561
5561,2012-10-01 00:00:00,G,E-10,27098286,1105,55,A,12759
5590,2012-10-01 00:00:00,K,K-5,27098966,1105,26,A,16371
5620,2012-10-01 00:00:00,K,K-5,27098968,1105,27,R,16530
5650,2012-10-01 00:00:00,K,K-5,27098969,1105,25,A,16845
5680,2012-10-01 00:00:00,K,K-5,27098971,1105,27,R,16530
5709,2012-10-01 00:00:00,A,A-31,27097853,1106,19,A,12739
5738,2012-10-01 00:00:00,A,A-31,27097854,1106,20,R,12083
5767,2012-10-01 00:00:00,A,A-31,27097855,1106,19,A,12739
5796,2012-10-01 00:00:00,A,A-31,27097856,1106,20,R,12083
5825,2012-10-01 00:00:00,A,A-31,27097857,1106,19,A,12739
5854,2012-10-01 00:00:00,A,A-31,27097858,1106,20,R,12083
5874,2012-10-01 00:00:00,33,A-31,27097859,1106,3,A,7366
5901,2012-10-01 00:00:00,34,A-31,27097861,1106,6,R,10945
5927,2012-10-01 00:00:00,34,A-31,27097862,1106,3,A,11076
5947,2012-10-01 00:00:00,33,A-31,27097864,1106,8,R,7276
5976,2012-10-01 00:00:00,A,A-31,27097865,1106,19,A,12739
6005,2012-10-01 00:00:00,A,A-31,27097866,1106,20,R,12083
6025,2012-10-01 00:00:00,33,A-31,27097867,1106,3,A,7366
6044,2012-10-01 00:00:00,33,A-31,27097869,1106,8,R,7276
6064,2012-10-01 00:00:00,33,A-31,27097870,1106,3,A,7366
6071,2012-10-01 00:00:00,33,A-31,27097872,1106,12,R,2241
6101,2012-10-01 00:00:00,K,K-4,27098959,1106,27,R,16530
6131,2012-10-01 00:00:00,K,K-4,27098960,1106,25,A,16845
6161,2012-10-01 00:00:00,K,K-4,27098962,1106,27,R,16530
6191,2012-10-01 00:00:00,K,K-4,27098963,1106,25,A,16845
6227,2012-10-01 00:00:00,C,5-9,27095741,1107,15,R,14752
6263,2012-10-01 00:00:00,C,5-9,27095742,1107,8,A,14904
6299,2012-10-01 00:00:00,C,5-9,27095743,1107,15,R,14752
6329,2012-10-01 00:00:00,5,5-9,27095745,1107,71,A,11960
6357,2012-10-01 00:00:00,5,5-9,27095746,1107,49,R,11541
6387,2012-10-01 00:00:00,5,5-9,27095747,1107,71,A,11960
6415,2012-10-01 00:00:00,5,5-9,27095748,1107,49,R,11541
6445,2012-10-01 00:00:00,5,5-9,27095749,1107,71,A,11960
6474,2012-10-01 00:00:00,5,5-9,27095750,1107,49,R,11541
6493,2012-10-01 00:00:00,31,5-9,27095752,1107,2,A,6189
6512,2012-10-01 00:00:00,31,5-9,27095753,1107,5,R,5771
6542,2012-10-01 00:00:00,5,5-9,27095755,1107,71,A,11960
6570,2012-10-01 00:00:00,5,5-9,27095756,1107,49,R,11541
6593,2012-10-01 00:00:00,5,5-9,27095757,1107,23,A,7701
6615,2012-10-01 00:00:00,5,5-9,27095760,1107,26,R,7945
6638,2012-10-01 00:00:00,5,5-9,27095761,1107,71,A,11960
6660,2012-10-01 00:00:00,5,5-9,27095762,1107,49,R,11541
6690,2012-10-01 00:00:00,5,5-9,27095763,1107,71,A,11960
6718,2012-10-01 00:00:00,5,5-9,27095764,1107,49,R,11541
6750,2012-10-01 00:00:00,C,5-9,27095766,1107,20,A,12017
6782,2012-10-01 00:00:00,C,5-9,27095767,1107,16,R,11885
6814,2012-10-01 00:00:00,C,5-9,27095768,1107,20,A,12017
6846,2012-10-01 00:00:00,C,5-9,27095769,1107,16,R,11885
6878,2012-10-01 00:00:00,C,5-9,27095770,1107,20,A,12017
6909,2012-10-01 00:00:00,1,11-25,27088947,1108,45,A,10322
6933,2012-10-01 00:00:00,11,11-25,27088949,1108,17,A,8883
6955,2012-10-01 00:00:00,11,11-25,27088951,1108,18,R,8598
6978,2012-10-01 00:00:00,9,9-69,27097543,1108,36,R,11207
7009,2012-10-01 00:00:00,1,9-69,27097545,1108,45,A,10322
7034,2012-10-01 00:00:00,1,9-69,27097547,1108,49,R,7379
7053,2012-10-01 00:00:00,1,9-69,27097548,1108,46,A,5929
7089,2012-10-01 00:00:00,1,9-69,27097550,1108,48,R,11651
7120,2012-10-01 00:00:00,1,9-69,27097552,1108,45,A,10322
7156,2012-10-01 00:00:00,1,9-69,27097554,1108,48,R,11651
7192,2012-10-01 00:00:00,C,C-43,27097939,1109,8,A,14904
7228,2012-10-01 00:00:00,C,C-43,27097940,1109,15,R,14752
7264,2012-10-01 00:00:00,C,C-43,27097941,1109,8,A,14904
7300,2012-10-01 00:00:00,C,C-43,27097942,1109,15,R,14752
7323,2012-10-01 00:00:00,5,C-43,27097944,1109,23,A,7701
7343,2012-10-01 00:00:00,G,G-27,27098785,1109,55,A,12759
7369,2012-10-01 00:00:00,G,G-27,27098786,1109,57,R,12656
7390,2012-10-01 00:00:00,G,G-27,27098788,1109,55,A,12759
7417,2012-10-01 00:00:00,G,G-27,27098789,1109,59,R,13302
7438,2012-10-01 00:00:00,G,G-27,27098791,1109,55,A,12759
7464,2012-10-01 00:00:00,G,G-27,27098792,1109,57,R,12656
7485,2012-10-01 00:00:00,G,G-27,27098794,1109,55,A,12759
7512,2012-10-01 00:00:00,G,G-27,27098795,1109,59,R,13302
7537,2012-10-01 00:00:00,G,G-27,27098797,1109,32,A,15611
7566,2012-10-01 00:00:00,G,G-27,27098798,1109,33,R,15868
7591,2012-10-01 00:00:00,G,G-27,27098800,1109,32,A,15611
7621,2012-10-01 00:00:00,G,G-27,27098801,1109,30,R,16514
7650,2012-10-01 00:00:00,E,G-27,27098803,1109,4,A,13331
7682,2012-10-01 00:00:00,E,G-27,27098804,1109,7,R,13561
7711,2012-10-01 00:00:00,E,G-27,27098806,1109,4,A,13331
7743,2012-10-01 00:00:00,E,G-27,27098807,1109,7,R,13561
7764,2012-10-01 00:00:00,G,G-27,27098809,1109,55,A,12759
7788,2012-10-01 00:00:00,G,G-27,27098810,1109,57,R,12656
7821,2012-10-01 00:00:00,9,1-58,27088224,111,36,R,11207
7848,2012-10-01 00:00:00,9,1-58,27088226,111,34,A,10774
7881,2012-10-01 00:00:00,9,1-58,27088227,111,36,R,11207
7912,2012-10-01 00:00:00,1,1-58,27088229,111,45,A,10322
7948,2012-10-01 00:00:00,1,1-58,27088231,111,48,R,11651
7979,2012-10-01 00:00:00,1,1-58,27088233,111,45,A,10322
8015,2012-10-01 00:00:00,1,1-58,27088235,111,48,R,11651
8046,2012-10-01 00:00:00,1,1-58,27088237,111,45,A,10322
8082,2012-10-01 00:00:00,1,1-58,27088239,111,48,R,11651
8113,2012-10-01 00:00:00,1,1-58,27088241,111,45,A,10322
8138,2012-10-01 00:00:00,1,1-58,27088243,111,49,R,7379
8157,2012-10-01 00:00:00,1,1-58,27088244,111,46,A,5929
8193,2012-10-01 00:00:00,1,1-58,27088246,111,48,R,11651
8224,2012-10-01 00:00:00,1,1-58,27088248,111,45,A,10322
8248,2012-10-01 00:00:00,11,1-58,27088250,111,17,A,8883
8270,2012-10-01 00:00:00,11,1-58,27088252,111,18,R,8598
8294,2012-10-01 00:00:00,11,1-58,27088254,111,17,A,8883
8316,2012-10-01 00:00:00,11,1-58,27088256,111,18,R,8598
8340,2012-10-01 00:00:00,11,1-58,27088258,111,17,A,8883
8362,2012-10-01 00:00:00,11,1-58,27088260,111,18,R,8598
8386,2012-10-01 00:00:00,11,1-58,27088262,111,17,A,8883
8415,2012-10-01 00:00:00,A,34-16,27093541,1110,19,A,12739
8444,2012-10-01 00:00:00,A,34-16,27093542,1110,20,R,12083
8473,2012-10-01 00:00:00,A,34-16,27093543,1110,19,A,12739
8502,2012-10-01 00:00:00,A,34-16,27093544,1110,20,R,12083
8531,2012-10-01 00:00:00,A,34-16,27093545,1110,19,A,12739
8560,2012-10-01 00:00:00,A,34-16,27093546,1110,20,R,12083
8580,2012-10-01 00:00:00,33,34-16,27093547,1110,3,A,7366
8607,2012-10-01 00:00:00,34,34-16,27093549,1110,6,R,10945
8634,2012-10-01 00:00:00,34,34-16,27093550,1110,3,A,11076
8654,2012-10-01 00:00:00,33,34-16,27093552,1110,8,R,7276
8674,2012-10-01 00:00:00,33,34-16,27093553,1110,3,A,7366
8701,2012-10-01 00:00:00,34,34-16,27093555,1110,6,R,10945
8728,2012-10-01 00:00:00,34,34-16,27093556,1110,3,A,11076
8748,2012-10-01 00:00:00,33,34-16,27093558,1110,8,R,7276
8777,2012-10-01 00:00:00,A,34-16,27093559,1110,19,A,12739
8805,2012-10-01 00:00:00,A,34-16,27093560,1110,20,R,12083
8825,2012-10-01 00:00:00,33,34-16,27093561,1110,3,A,7366
8852,2012-10-01 00:00:00,34,34-16,27093563,1110,6,R,10945
8879,2012-10-01 00:00:00,34,34-16,27093564,1110,3,A,11076
8899,2012-10-01 00:00:00,33,34-16,27093566,1110,8,R,7276
8919,2012-10-01 00:00:00,33,34-16,27093567,1110,3,A,7366
8946,2012-10-01 00:00:00,34,34-16,27093569,1110,6,R,10945
8973,2012-10-01 00:00:00,34,34-16,27093570,1110,3,A,11076
9000,2012-10-01 00:00:00,34,34-16,27093572,1110,6,R,10945
9027,2012-10-01 00:00:00,34,34-16,27093573,1110,3,A,11076
9055,2012-10-01 00:00:00,5,5-17,27095263,1111,49,R,11541
9085,2012-10-01 00:00:00,5,5-17,27095264,1111,71,A,11960
9113,2012-10-01 00:00:00,5,5-17,27095265,1111,49,R,11541
9143,2012-10-01 00:00:00,5,5-17,27095266,1111,71,A,11960
9171,2012-10-01 00:00:00,5,5-17,27095267,1111,49,R,11541
9207,2012-10-01 00:00:00,C,5-17,27095269,1111,8,A,14904
9243,2012-10-01 00:00:00,C,5-17,27095270,1111,15,R,14752
9279,2012-10-01 00:00:00,C,5-17,27095271,1111,8,A,14904
9315,2012-10-01 00:00:00,C,5-17,27095272,1111,15,R,14752
9345,2012-10-01 00:00:00,5,5-17,27095274,1111,71,A,11960
9373,2012-10-01 00:00:00,5,5-17,27095275,1111,49,R,11541
9403,2012-10-01 00:00:00,5,5-17,27095276,1111,71,A,11960
9431,2012-10-01 00:00:00,5,5-17,27095277,1111,49,R,11541
9461,2012-10-01 00:00:00,5,5-17,27095278,1111,71,A,11960
9490,2012-10-01 00:00:00,5,5-17,27095279,1111,49,R,11541
9520,2012-10-01 00:00:00,5,5-17,27095280,1111,71,A,11960
9539,2012-10-01 00:00:00,31,5-15,27095208,1112,2,A,6189
9558,2012-10-01 00:00:00,31,5-15,27095209,1112,5,R,5771
9577,2012-10-01 00:00:00,31,5-15,27095210,1112,2,A,6189
9596,2012-10-01 00:00:00,31,5-15,27095211,1112,5,R,5771
9626,2012-10-01 00:00:00,5,5-15,27095213,1112,71,A,11960
9654,2012-10-01 00:00:00,5,5-15,27095214,1112,49,R,11541
9686,2012-10-01 00:00:00,C,5-15,27095216,1112,20,A,12017
9718,2012-10-01 00:00:00,C,5-15,27095217,1112,16,R,11885
9754,2012-10-01 00:00:00,C,5-15,27095218,1112,8,A,14904
9790,2012-10-01 00:00:00,C,5-15,27095219,1112,15,R,14752
9820,2012-10-01 00:00:00,5,5-15,27095221,1112,71,A,11960
9848,2012-10-01 00:00:00,5,5-15,27095222,1112,49,R,11541
9867,2012-10-01 00:00:00,31,5-15,27095224,1112,2,A,6189
9886,2012-10-01 00:00:00,31,5-15,27095225,1112,5,R,5771
9905,2012-10-01 00:00:00,31,5-15,27095226,1112,2,A,6189
9924,2012-10-01 00:00:00,31,5-15,27095227,1112,5,R,5771
9954,2012-10-01 00:00:00,5,5-15,27095229,1112,71,A,11960
9982,2012-10-01 00:00:00,5,5-15,27095230,1112,49,R,11541
10001,2012-10-01 00:00:00,31,5-15,27095232,1112,2,A,6189
10020,2012-10-01 00:00:00,31,5-15,27095233,1112,5,R,5771
10039,2012-10-01 00:00:00,31,5-15,27095234,1112,2,A,6189
10067,2012-10-01 00:00:00,A,A-30,27097845,1113,20,R,12083
10096,2012-10-01 00:00:00,A,A-30,27097846,1113,19,A,12739
10125,2012-10-01 00:00:00,A,A-30,27097847,1113,20,R,12083
10154,2012-10-01 00:00:00,A,A-30,27097848,1113,19,A,12739
10183,2012-10-01 00:00:00,A,A-30,27097849,1113,20,R,12083
10203,2012-10-01 00:00:00,33,A-30,27097850,1113,3,A,7366
10224,2012-10-01 00:00:00,G,G-26,27098770,1113,55,A,12759
10250,2012-10-01 00:00:00,G,G-26,27098771,1113,57,R,12656
10271,2012-10-01 00:00:00,G,G-26,27098773,1113,55,A,12759
10297,2012-10-01 00:00:00,G,G-26,27098774,1113,57,R,12656
10318,2012-10-01 00:00:00,G,G-26,27098776,1113,55,A,12759
10344,2012-10-01 00:00:00,G,G-26,27098777,1113,57,R,12656
10365,2012-10-01 00:00:00,G,G-26,27098779,1113,55,A,12759
10392,2012-10-01 00:00:00,G,G-26,27098780,1113,59,R,13302
10425,2012-10-01 00:00:00,23,23-41,27092364,1114,13,R,13695
10455,2012-10-01 00:00:00,23,23-41,27092366,1114,6,A,11362
10488,2012-10-01 00:00:00,23,23-41,27092367,1114,13,R,13695
10489,2012-10-01 00:00:00,23,23-41,27092369,1114,16,A,7177
10516,2012-10-01 00:00:00,34,34-22,27093664,1114,3,A,11076
10536,2012-10-01 00:00:00,33,34-22,27093666,1114,8,R,7276
10556,2012-10-01 00:00:00,33,34-22,27093667,1114,3,A,7366
10583,2012-10-01 00:00:00,34,34-22,27093669,1114,6,R,10945
10610,2012-10-01 00:00:00,34,34-22,27093670,1114,3,A,11076
10630,2012-10-01 00:00:00,33,34-22,27093672,1114,8,R,7276
10633,2012-10-01 00:00:00,23,23-41,27100545,1114,13,R,13695
10652,2012-10-01 00:00:00,23,23-41,27100546,1114,16,A,7177
10668,2012-10-01 00:00:00,5,5-3,27095505,1115,73,A,6726
10697,2012-10-01 00:00:00,5,5-3,27095506,1115,49,R,11541
10727,2012-10-01 00:00:00,5,5-3,27095507,1115,71,A,11960
10755,2012-10-01 00:00:00,5,5-3,27095508,1115,49,R,11541
10785,2012-10-01 00:00:00,5,5-3,27095509,1115,71,A,11960
